Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
79,Moisés Caicedo,ec ECU,MF,Chelsea,23-173,2001,32.2,2263,80,483,1395,409,12,2263,51,20,39.2,19,37.3,1267,5955,2818,37,26,2,34,23,1595,32,Matches
80,Tom Cairney,sct SCO,MF,Fulham,34-094,1991,5.4,565,6,79,302,192,11,565,12,4,33.3,4,33.3,377,1808,859,13,15,3,4,4,460,29,Matches
81,Jens Cajuste,se SWE,MF,Ipswich Town,25-257,1999,19.7,904,59,261,475,182,11,904,45,24,53.3,15,33.3,420,2272,1175,23,21,3,21,14,521,16,Matches
82,Riccardo Calafiori,it ITA,DF,Arsenal,22-340,2002,10.3,628,30,161,249,222,29,628,13,9,69.2,3,23.1,291,1572,839,21,12,3,11,5,377,29,Matches
83,Dominic Calvert-Lewin,eng ENG,FW,Everton,28-039,1997,17.5,491,21,38,204,254,82,491,25,10,40.0,13,52.0,268,1398,444,22,8,16,71,32,402,105,Matches
84,Diego Carlos,br BRA,DF,Aston Villa,32-040,1993,9.2,674,86,331,330,15,6,674,2,2,100.0,0,0.0,419,2133,1162,3,3,0,1,2,481,0,Matches
85,Fabio Carvalho,pt POR,"FW,MF",Brentford,22-237,2002,5.1,247,4,44,91,113,22,247,14,2,14.3,10,71.4,137,698,356,9,3,0,13,8,145,23,Matches
86,Casemiro,br BRA,MF,Manchester Utd,33-060,1992,14.1,1039,67,309,523,215,37,1039,6,3,50.0,3,50.0,546,1680,775,4,10,0,10,10,663,26,Matches
87,Kaelan Casey,eng ENG,DF,West Ham,20-178,2004,0.0,1,1,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
88,Matty Cash,pl POL,DF,Aston Villa,27-260,1997,19.0,963,70,350,382,242,37,963,32,15,46.9,14,43.8,479,3058,1576,44,33,4,17,6,547,70,Matches
89,Eiran Cashin,ie IRL,DF,Brighton,23-166,2001,0.2,32,2,10,20,2,0,32,1,0,0.0,1,100.0,21,133,99,0,0,0,0,0,25,1,Matches
90,Timothy Castagne,be BEL,DF,Fulham,29-140,1995,18.1,1149,91,444,458,253,32,1149,12,5,41.7,5,41.7,542,2172,1043,17,15,2,15,5,657,67,Matches
91,Trevoh Chalobah,eng ENG,DF,Crystal Palace,25-293,1999,11.8,594,66,275,276,51,14,594,10,6,60.0,2,20.0,278,1213,661,11,9,1,4,7,317,6,Matches
92,Trevoh Chalobah,eng ENG,DF,Chelsea,25-293,1999,7.3,589,49,251,291,52,10,589,3,1,33.3,0,0.0,325,1305,567,3,2,0,3,2,439,2,Matches
93,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,28-067,1997,6.9,287,6,47,145,100,12,287,6,3,50.0,3,50.0,138,697,380,10,7,0,9,3,195,20,Matches
94,Youssef Chermiti,pt POR,"FW,MF",Everton,20-335,2004,0.2,8,0,0,2,6,2,8,1,1,100.0,0,0.0,4,11,1,0,0,0,0,0,6,4,Matches
95,Federico Chiesa,it ITA,FW,Liverpool,27-181,1997,0.4,32,0,5,12,15,4,32,1,0,0.0,1,100.0,22,80,35,2,0,1,1,3,24,6,Matches
96,Ben Chilwell,eng ENG,DF,Crystal Palace,28-124,1996,1.5,98,6,35,43,25,1,98,5,2,40.0,2,40.0,39,203,146,2,1,0,2,2,42,10,Matches
97,Chiquinho,pt POR,MF,Wolves,25-078,2000,0.1,3,0,0,1,2,1,3,0,0,,0,,1,13,5,0,0,0,0,0,2,0,Matches
98,Hamza Choudhury,bd BAN,"MF,DF",Leicester City,27-205,1997,1.5,100,4,19,61,20,3,100,4,3,75.0,1,25.0,63,246,130,4,2,2,1,0,71,6,Matches
99,Ryan Christie,sct SCO,MF,Bournemouth,30-061,1995,23.5,1376,74,256,773,372,46,1376,48,23,47.9,22,45.8,726,3802,1773,34,40,8,44,25,777,44,Matches
100,Harry Clarke,eng ENG,DF,Ipswich Town,24-053,2001,4.2,268,18,100,122,47,2,268,2,1,50.0,1,50.0,118,555,222,5,7,0,4,2,163,2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
101,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,24-152,2000,11.0,457,20,110,186,175,29,457,37,21,56.8,12,32.4,261,1842,947,29,18,9,19,15,282,47,Matches
102,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,34-019,1991,5.4,273,18,111,125,37,3,273,1,0,0.0,1,100.0,158,651,314,6,2,3,5,2,178,8,Matches
103,Conor Coady,eng ENG,DF,Leicester City,32-058,1993,14.0,893,176,490,388,16,5,893,2,1,50.0,1,50.0,593,2497,1288,2,2,1,4,2,652,0,Matches
104,Séamus Coleman,ie IRL,DF,Everton,36-195,1988,2.2,100,11,39,43,19,2,100,5,4,80.0,1,20.0,43,225,109,1,1,0,1,1,51,2,Matches
105,Nathan Collins,ie IRL,DF,Brentford,23-359,2001,33.0,2139,341,1124,867,158,63,2139,12,6,50.0,5,41.7,1125,6085,3556,25,9,0,15,8,1303,18,Matches
106,Toby Collyer,eng ENG,MF,Manchester Utd,21-111,2004,2.0,129,9,46,59,25,3,129,2,1,50.0,1,50.0,68,239,56,0,0,0,11,1,71,2,Matches
107,Levi Colwill,eng ENG,DF,Chelsea,22-057,2003,30.0,2591,318,1201,1275,125,33,2591,8,5,62.5,3,37.5,1483,6732,3727,13,11,1,13,8,1902,11,Matches
108,Lewis Cook,eng ENG,"MF,DF",Bournemouth,28-080,1997,30.1,1768,80,412,928,447,19,1768,17,10,58.8,7,41.2,777,3887,2099,33,28,4,29,16,886,48,Matches
109,Maxwel Cornet,ci CIV,FW,Southampton,28-209,1996,0.8,34,1,8,14,13,2,34,1,0,0.0,1,100.0,16,73,26,1,0,1,3,0,23,5,Matches
