Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
111,Woyo Coulibaly,fr FRA,DF,Leicester City,25-339,1999,1.2,48,57,84.2,797,314,28,34,82.4,16,19,84.2,4,4,100.0,0,0.0,0.0,0.0,0,3,0,0,3,Matches
112,Aaron Cresswell,eng ENG,DF,West Ham,35-130,1989,6.5,355,440,80.7,6769,2697,157,173,90.8,152,177,85.9,45,82,54.9,0,1.1,1.2,-1.1,7,40,4,1,24,Matches
113,Marc Cucurella,es ESP,DF,Chelsea,26-276,1998,28.2,1454,1658,87.7,22733,6305,736,784,93.9,633,706,89.7,56,102,54.9,1,1.8,2.2,-0.8,17,103,12,3,97,Matches
114,Jorge Cuenca,es ESP,DF,Fulham,25-158,1999,2.9,102,122,83.6,1768,637,34,38,89.5,60,68,88.2,6,14,42.9,0,0.0,0.0,0.0,0,7,0,0,9,Matches
115,Matheus Cunha,br BRA,"MF,FW",Wolves,25-332,1999,25.0,682,961,71.0,10862,3746,387,457,84.7,193,256,75.4,72,164,43.9,4,6.8,4.7,-2.8,46,81,50,9,119,Matches
116,Patson Daka,zm ZAM,"FW,MF",Leicester City,26-197,1998,7.2,100,139,71.9,1396,254,61,76,80.3,31,43,72.1,3,3,100.0,0,0.1,0.1,-0.1,1,6,1,0,8,Matches
117,Diogo Dalot,pt POR,DF,Manchester Utd,26-037,1999,31.0,1336,1659,80.5,21497,6609,691,769,89.9,519,634,81.9,93,168,55.4,3,2.0,2.5,+1.0,26,61,25,8,102,Matches
118,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24-295,2000,27.7,954,1310,72.8,16253,6345,480,562,85.4,332,452,73.5,113,214,52.8,10,7.3,5.9,+2.7,55,144,62,15,204,Matches
119,Danilo,br BRA,"MF,FW",Nott'ham Forest,23-360,2001,3.0,89,114,78.1,1435,534,43,51,84.3,36,43,83.7,6,10,60.0,0,0.0,0.0,0.0,0,13,0,0,11,Matches
120,Jayden Danns,eng ENG,MF,Liverpool,19-098,2006,0.1,1,1,100.0,6,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
121,Kevin Danso,at AUT,DF,Tottenham,26-217,1998,4.4,307,339,90.6,5519,1728,103,111,92.8,185,194,95.4,16,30,53.3,0,0.0,0.1,0.0,1,20,2,1,16,Matches
122,Ben Davies,wls WAL,DF,Tottenham,32-000,1993,10.5,704,782,90.0,13176,5396,242,259,93.4,391,413,94.7,60,86,69.8,0,0.2,0.5,-0.2,2,40,2,0,48,Matches
123,Leif Davis,eng ENG,DF,Ipswich Town,25-102,2000,28.5,854,1194,71.5,14708,5905,398,463,86.0,367,474,77.4,75,201,37.3,2,4.3,4.2,-2.3,54,30,26,11,55,Matches
124,Craig Dawson,eng ENG,DF,Wolves,34-353,1990,10.8,484,559,86.6,9745,3180,149,161,92.5,267,287,93.0,57,95,60.0,0,0.0,0.1,0.0,2,22,1,0,20,Matches
