Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
69,Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,27-019,1998,6.7,1,0,0,4,13,2,9,4,3,0,0,0,30,1,9,10.0,Matches
70,Armando Broja,al ALB,FW,Everton,23-226,2001,3.7,1,0,0,6,4,3,1,1,1,0,0,0,9,18,21,46.2,Matches
71,David Brooks,wls WAL,"FW,MF",Bournemouth,27-290,1997,9.1,3,0,0,8,15,0,44,5,4,0,0,0,44,7,9,43.8,Matches
72,Emi Buendía,ar ARG,"MF,FW",Aston Villa,28-120,1996,1.1,1,0,0,4,6,0,0,0,6,0,0,0,8,0,2,0.0,Matches
73,Santiago Bueno,uy URU,DF,Wolves,26-166,1998,18.6,2,0,0,26,5,0,0,15,20,0,0,0,43,34,31,52.3,Matches
74,Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,20-122,2004,15.9,7,0,0,33,32,3,41,10,28,0,0,0,75,16,33,32.7,Matches
75,Cameron Burgess,au AUS,DF,Ipswich Town,29-185,1995,14.1,0,0,0,4,4,1,0,13,8,0,0,0,35,38,19,66.7,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
76,Dan Burn,eng ENG,DF,Newcastle Utd,32-350,1992,32.0,9,0,0,27,11,4,2,25,18,0,0,2,87,122,61,66.7,Matches
77,Wes Burns,wls WAL,"FW,DF",Ipswich Town,30-152,1994,10.3,1,0,0,4,11,0,46,10,11,0,0,0,50,8,21,27.6,Matches
78,Nathan Butler-Oyedeji,eng ENG,FW,Arsenal,22-110,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
79,Moisés Caicedo,ec ECU,MF,Chelsea,23-173,2001,32.2,10,0,0,60,54,0,8,43,61,1,1,0,192,29,15,65.9,Matches
80,Tom Cairney,sct SCO,MF,Fulham,34-094,1991,5.4,3,1,0,8,17,0,16,4,5,0,0,0,43,4,7,36.4,Matches
81,Jens Cajuste,se SWE,MF,Ipswich Town,25-257,1999,19.7,2,0,0,21,21,0,9,25,19,0,0,0,98,12,20,37.5,Matches
82,Riccardo Calafiori,it ITA,DF,Arsenal,22-340,2002,10.3,4,0,0,16,6,3,11,9,18,0,0,0,30,22,13,62.9,Matches
83,Dominic Calvert-Lewin,eng ENG,FW,Everton,28-039,1997,17.5,2,0,0,27,22,27,6,6,7,0,0,0,32,83,79,51.2,Matches
84,Diego Carlos,br BRA,DF,Aston Villa,32-040,1993,9.2,1,0,0,11,1,1,0,5,3,0,0,0,36,11,10,52.4,Matches
85,Fabio Carvalho,pt POR,"FW,MF",Brentford,22-237,2002,5.1,1,0,0,5,10,1,10,3,9,0,0,0,30,2,6,25.0,Matches
86,Casemiro,br BRA,MF,Manchester Utd,33-060,1992,14.1,3,0,0,15,18,3,19,12,43,0,0,0,82,28,17,62.2,Matches
87,Kaelan Casey,eng ENG,DF,West Ham,20-178,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
88,Matty Cash,pl POL,DF,Aston Villa,27-260,1997,19.0,6,0,0,24,15,1,30,21,26,0,2,0,61,17,19,47.2,Matches
89,Eiran Cashin,ie IRL,DF,Brighton,23-166,2001,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,66.7,Matches
90,Timothy Castagne,be BEL,DF,Fulham,29-140,1995,18.1,1,0,0,15,6,1,37,22,29,0,1,0,55,34,35,49.3,Matches
91,Trevoh Chalobah,eng ENG,DF,Crystal Palace,25-293,1999,11.8,1,0,0,10,15,1,7,19,16,0,0,0,56,22,19,53.7,Matches
92,Trevoh Chalobah,eng ENG,DF,Chelsea,25-293,1999,7.3,1,0,0,6,5,0,3,7,2,0,0,0,22,21,9,70.0,Matches
93,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,28-067,1997,6.9,1,0,0,10,5,0,9,3,5,0,0,0,23,2,8,20.0,Matches
94,Youssef Chermiti,pt POR,"FW,MF",Everton,20-335,2004,0.2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,50.0,Matches
95,Federico Chiesa,it ITA,FW,Liverpool,27-181,1997,0.4,0,0,0,2,1,0,2,0,0,0,0,0,4,0,0,,Matches
96,Ben Chilwell,eng ENG,DF,Crystal Palace,28-124,1996,1.5,1,0,0,2,2,2,3,4,4,0,0,0,12,3,3,50.0,Matches
97,Chiquinho,pt POR,MF,Wolves,25-078,2000,0.1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,,Matches
98,Hamza Choudhury,bd BAN,"MF,DF",Leicester City,27-205,1997,1.5,0,0,0,1,0,0,5,5,1,0,0,0,2,0,0,,Matches
99,Ryan Christie,sct SCO,MF,Bournemouth,30-061,1995,23.5,9,0,0,43,31,1,48,30,33,0,0,0,182,20,28,41.7,Matches
