Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
515,Ryan Trevitt,eng ENG,MF,Brentford,22-043,2003,0.0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,,Matches
516,Kieran Trippier,eng ENG,DF,Newcastle Utd,34-217,1990,12.2,1,0,0,13,9,2,62,11,19,0,0,0,57,19,10,65.5,Matches
517,Leandro Trossard,be BEL,FW,Arsenal,30-141,1994,25.2,4,1,1,24,41,5,78,9,16,0,0,0,90,6,21,22.2,Matches
518,Kostas Tsimikas,gr GRE,DF,Liverpool,28-347,1996,7.4,2,0,0,9,6,1,53,10,17,0,0,0,26,5,6,45.5,Matches
519,Axel Tuanzebe,cd COD,DF,Ipswich Town,27-161,1997,16.1,5,1,1,12,11,0,6,21,17,0,0,1,43,15,16,48.4,Matches
520,Destiny Udogie,it ITA,DF,Tottenham,22-147,2002,19.4,2,0,0,29,36,2,19,19,44,0,0,0,103,13,13,50.0,Matches
521,Manuel Ugarte Ribeiro,uy URU,MF,Manchester Utd,24-013,2001,17.7,9,0,0,35,31,0,7,25,43,0,0,1,110,17,17,50.0,Matches
522,Lesley Ugochukwu,fr FRA,MF,Southampton,21-029,2004,15.1,5,0,0,26,14,0,5,12,22,0,1,0,57,16,16,50.0,Matches
523,Enes Ünal,tr TUR,"FW,MF",Bournemouth,27-349,1997,3.8,2,0,0,6,9,1,4,0,0,0,0,0,16,24,22,52.2,Matches
524,Virgil van Dijk,nl NED,DF,Liverpool,33-290,1991,33.0,3,0,0,15,12,0,1,52,16,0,0,0,104,109,44,71.2,Matches
525,Jamie Vardy,eng ENG,FW,Leicester City,38-103,1987,27.6,5,0,0,20,19,23,10,3,13,1,0,0,34,47,50,48.5,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
526,Renato Veiga,pt POR,"DF,MF",Chelsea,21-269,2003,2.0,2,0,0,6,1,1,0,1,6,0,0,0,9,3,3,50.0,Matches
527,Joël Veltman,nl NED,DF,Brighton,33-099,1992,18.3,4,0,0,26,42,0,23,18,28,0,1,0,67,21,18,53.8,Matches
528,Micky van de Ven,nl NED,DF,Tottenham,24-005,2001,10.6,4,0,0,10,8,0,0,10,6,0,0,0,61,19,18,51.4,Matches
529,Bart Verbruggen,nl NED,GK,Brighton,22-249,2002,31.0,5,0,0,0,2,0,0,0,0,0,0,0,57,10,1,90.9,Matches
530,Jannik Vestergaard,dk DEN,DF,Leicester City,32-264,1992,15.5,5,0,0,12,4,0,0,16,10,0,0,1,46,26,19,57.8,Matches
531,Guglielmo Vicario,it ITA,GK,Tottenham,28-199,1996,21.0,1,0,0,0,1,0,0,1,0,0,0,0,30,9,0,100.0,Matches
532,Carlos Vinícius,br BRA,"FW,MF",Fulham,30-030,1995,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Matches
533,Kyle Walker,eng ENG,DF,Manchester City,34-331,1990,10.8,3,0,0,6,5,1,14,3,10,0,0,0,46,9,7,56.3,Matches
534,Kyle Walker-Peters,eng ENG,DF,Southampton,28-011,1997,30.4,5,0,0,26,48,2,51,17,28,0,0,0,126,10,20,33.3,Matches
535,Christian Walton,eng ENG,GK,Ipswich Town,29-166,1995,6.0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,0,100.0,Matches
536,Aaron Wan-Bissaka,eng ENG,DF,West Ham,27-149,1997,30.0,1,0,0,22,23,4,61,57,43,0,0,1,153,22,28,44.0,Matches
537,Danny Ward,wls WAL,GK,Leicester City,31-306,1993,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
538,Joel Ward,eng ENG,DF,Crystal Palace,35-177,1989,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
539,James Ward-Prowse,eng ENG,MF,West Ham,30-174,1994,8.4,2,0,0,8,2,0,37,5,9,0,0,0,39,5,4,55.6,Matches
540,James Ward-Prowse,eng ENG,MF,Nott'ham Forest,30-174,1994,4.4,2,1,1,7,2,0,19,5,1,0,0,0,19,3,5,37.5,Matches
541,Ollie Watkins,eng ENG,FW,Aston Villa,29-115,1995,25.1,2,0,0,27,29,12,7,7,6,2,0,0,39,46,61,43.0,Matches
542,Adam Webster,eng ENG,DF,Brighton,30-110,1995,6.9,0,0,0,5,2,1,1,14,5,0,1,0,20,17,4,81.0,Matches
543,Danny Welbeck,eng ENG,FW,Brighton,34-149,1990,19.6,4,0,0,10,20,2,3,5,13,0,0,0,35,15,23,39.5,Matches
544,Welington,br BRA,"DF,MF",Southampton,24-064,2001,2.4,1,0,0,3,5,0,10,3,5,0,1,0,10,0,2,0.0,Matches
545,Timo Werner,de GER,"FW,MF",Tottenham,29-049,1996,5.7,0,0,0,3,5,5,28,1,4,0,0,0,18,0,1,0.0,Matches
546,Adam Wharton,eng ENG,MF,Crystal Palace,20-326,2004,14.0,2,0,0,12,21,0,35,18,14,0,0,0,96,7,16,30.4,Matches
547,Ben White,eng ENG,DF,Arsenal,27-198,1997,9.5,2,0,0,8,4,1,10,12,8,0,0,0,24,11,3,78.6,Matches
548,Mats Wieffer,nl NED,"MF,DF",Brighton,25-159,1999,6.7,4,0,0,16,5,0,5,10,16,0,0,0,50,22,17,56.4,Matches
549,Neco Williams,wls WAL,DF,Nott'ham Forest,24-011,2001,23.8,5,0,0,20,34,1,40,24,44,0,0,0,84,34,25,57.6,Matches
550,Willian,br BRA,"MF,FW",Fulham,36-258,1988,1.8,0,0,0,1,0,0,8,1,1,0,0,0,14,1,2,33.3,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
551,Joe Willock,eng ENG,"MF,FW",Newcastle Utd,25-247,1999,9.9,2,0,0,19,11,3,13,5,14,0,0,0,34,3,10,23.1,Matches
552,Callum Wilson,eng ENG,FW,Newcastle Utd,33-056,1992,2.8,1,0,0,2,1,1,1,1,2,0,0,0,10,2,12,14.3,Matches
553,Harry Wilson,wls WAL,"FW,MF",Fulham,28-033,1997,9.5,2,0,0,10,16,0,30,5,7,1,0,0,39,4,16,20.0,Matches
554,Harry Winks,eng ENG,MF,Leicester City,29-081,1996,17.1,4,0,0,9,13,0,34,9,11,0,0,0,106,8,6,57.1,Matches
555,Ben Winterburn,eng ENG,"FW,MF",Bournemouth,20-232,2004,0.3,0,0,0,0,1,0,0,2,0,0,0,0,2,1,0,100.0,Matches
556,Yoane Wissa,cd COD,FW,Brentford,28-233,1996,27.4,2,0,0,26,44,14,20,8,8,1,0,0,61,28,31,47.5,Matches
557,Chris Wood,nz NZL,FW,Nott'ham Forest,33-138,1991,27.9,1,0,0,22,20,24,1,5,4,0,0,0,40,80,117,40.6,Matches
558,Nathan Wood-Gordon,eng ENG,DF,Southampton,22-328,2002,6.9,2,0,0,8,4,0,3,4,7,0,0,0,20,11,7,61.1,Matches
559,Luke Woolfenden,eng ENG,DF,Ipswich Town,26-185,1998,11.2,2,0,0,5,2,1,0,18,6,0,0,0,33,15,11,57.7,Matches
560,Yehor Yarmoliuk,ua UKR,MF,Brentford,21-054,2004,11.5,4,0,0,11,8,2,13,9,22,0,0,0,83,7,5,58.3,Matches
561,Ryan Yates,eng ENG,MF,Nott'ham Forest,27-154,1997,19.7,9,0,0,49,46,6,3,25,21,0,0,0,89,43,30,58.9,Matches
562,Leny Yoro,fr FRA,DF,Manchester Utd,19-162,2005,10.9,5,0,0,8,1,1,1,17,10,0,0,0,34,14,13,51.9,Matches
563,Ashley Young,eng ENG,"DF,FW",Everton,39-289,1985,17.6,6,1,0,24,17,0,63,22,28,0,0,0,60,10,10,50.0,Matches
564,Illia Zabarnyi,ua UKR,DF,Bournemouth,22-235,2002,29.6,3,1,0,17,6,0,5,34,32,0,0,0,140,67,37,64.4,Matches
565,Oleksandr Zinchenko,ua UKR,"DF,MF",Arsenal,28-130,1996,5.0,1,0,0,8,3,1,10,4,1,0,0,0,16,11,11,50.0,Matches
566,Joshua Zirkzee,nl NED,"FW,MF",Manchester Utd,23-337,2001,15.6,2,0,0,9,13,3,4,6,8,1,0,0,57,21,54,28.0,Matches
567,Martin Ødegaard,no NOR,MF,Arsenal,26-128,1998,22.7,4,0,0,10,20,1,80,4,11,0,0,0,86,8,7,53.3,Matches
